id,retailer,fascia,store_name,add_one,add_two,town,suburb,postcode,long_wgs,lat_wgs,bng_e,bng_n,pqi,open_date,size_band,county
1010002045,Marks and Spencer,Marks and Spencer Simply Food,M&S Blackheath SF,17 Stratheden Parade,,London,Westcombe Park,SE3 7SX,0.0194342593866267,51.47683808627543,540339.7615336326,177253.22821314225,Rooftop,,"3,013 < 15,069 ft2 (280 < 1,400 m2)",Greater London
1010015723,The Co-operative Group,The Co-operative Food,Co-op Cricklewood Lane Cricklewood,140 Cricklewood Lane,,London,Cricklewood,NW2 2DT,-0.2086761960348334,51.56018951972919,524272.5670434028,186110.08720690297,Rooftop,20199999.0,"< 3,013 ft2 (280m2)",Greater London
1010015724,The Co-operative Group,The Co-operative Food,Co-op Willesden Green - Walm Lane,57-59 Walm Lane,,London,Brondesbury,NW2 4QR,-0.2205879601990127,51.54975952962574,523475.1118819135,184930.05916856404,Rooftop,20199999.0,"< 3,013 ft2 (280m2)",Greater London
1010005398,Tesco,Tesco Express,Tesco Belsize Park Express,44-46 Englands Lane,Belsize Park,London,Belsize Park,NW5 4UE,-0.1627361474614559,51.5457731079776,527497.1915005911,184585.9082165328,Rooftop,,"< 3,013 ft2 (280m2)",Greater London
1010005401,Tesco,Tesco Express,Tesco Hampstead Belsize Rd Express,47-49 Belsize Road,Hampstead,London,Swiss Cottage,NW6 4RY,-0.1788852418952932,51.5420439480656,526387.781497733,184143.2082128396,Rooftop,,"< 3,013 ft2 (280m2)",Greater London
1010003726,Sainsburys,Sainsburys Local,Sainsburys West Hampstead Local,204 West End Lane,,London,West Hampstead,NW6 1SG,-0.1912717615959193,51.55005266411152,525506.841495399,185012.5082144409,Rooftop,,"< 3,013 ft2 (280m2)",Greater London
1010006723,Waitrose,Waitrose,Waitrose John Barnes,199 Finchley Road,,London,Frognal,NW3 6NN,-0.179753062608248,51.54635633180995,526315.6714975225,184621.2682144825,Rooftop,,"15,069 < 30,138 ft2 (1,400 < 2,800 m2)",Greater London
1010005388,Tesco,Tesco Express,Tesco Kensal Rise Express,21-23 Station Terrace,Kensal Rise,London,Kensal Rise,NW10 5RP,-0.2192536638906057,51.53359319158345,523611.3814905487,183134.52820394,Rooftop,,"< 3,013 ft2 (280m2)",Greater London
1010012699,The Co-operative Group,The Co-operative Food,Co-op Childs Hill - Finchley Road,713 Finchley Road,,London,Child's Hill,NW2 2JN,-0.1974772806480141,51.56323792595496,525040.4714941081,186468.158218996,Rooftop,20169999.0,"< 3,013 ft2 (280m2)",Greater London
1010003125,Sainsburys,Sainsburys,Sainsburys Willesden Grn,High Road,,London,Willesden Green,NW10 2TD,-0.2255497816730203,51.54683067910625,523139.0014892397,184595.99820849943,Rooftop,,"15,069 < 30,138 ft2 (1,400 < 2,800 m2)",Greater London
1010023794,The Southern Co-operative,The Co-operative Food,Co-op Swiss Cottage,2-4 Winchester Road,,London,Swiss Cottage,NW3 3NT,-0.1717418784329162,51.5429387046379,526880.6367561443,184255.0644814192,Rooftop,20199999.0,"< 3,013 ft2 (280m2)",Greater London
1010023490,Lidl,Lidl,Lidl London Fulham,North End Road 254-258,,London,Fulham Broadway,SW6 1NJ,-0.2019010901480677,51.48432069129733,524949.503113073,177684.64009174128,Rooftop,20240912.0,"15,069 < 30,138 ft2 (1,400 < 2,800 m2)",Greater London
1010010075,The Co-operative Group,The Co-operative Food,Co-op Fulham - Lillie Road,314 Lillie Road,,London,West Kensington,SW6 7PS,-0.2133639216383133,51.48276454512008,524157.85009222216,177492.10628401162,Rooftop,,"< 3,013 ft2 (280m2)",Greater London
1010005757,Tesco,Tesco Express,Tesco 700 Fulham Rd Express,700-702 Fulham Road,Fulham,London,Fulham,SW6 5SA,-0.20705528789828,51.474508496788346,524618.3614934545,176584.70818151394,Rooftop,,"< 3,013 ft2 (280m2)",Greater London
1010003887,Sainsburys,Sainsburys Local,Sainsburys Fulham Darlan Road Local,582 Fulham Road,,London,Fulham,SW6 5NT,-0.2016241891709555,51.47785407024787,524986.3914943974,176965.99818360875,Rooftop,,"< 3,013 ft2 (280m2)",Greater London
1010006539,Waitrose,Little Waitrose,Little Waitrose Old Brompton Road,99-103 Old Brompton Road,,London,South Kensington,SW7 3RD,-0.1776042070112748,51.492219320675126,526614.5914985604,178604.70819271094,Rooftop,20110127.0,"< 3,013 ft2 (280m2)",Greater London
1010006092,Tesco,Tesco Express Esso,Tesco Chelsea Esso Express,458 Fulham Road,Chelsea,London,Chelsea,SW10 9UZ,-0.1859828829422877,51.48268265874538,526059.2314971613,177529.74818769493,Rooftop,,"< 3,013 ft2 (280m2)",Greater London
1010014418,The Co-operative Group,The Co-operative Food,Co-op Fulham,227-233 Munster Road,,London,Fulham,SW6 6BT,-0.2125068148181924,51.48033362004925,524223.96159240464,177223.22988314397,Rooftop,20169999.0,"< 3,013 ft2 (280m2)",Greater London
1010005759,Tesco,Tesco Express,Tesco Fulham Sherbrooke Rd Express,21 Sherbrooke Road,,London,Fulham Broadway,SW6 7HX,-0.2067267668759524,51.4809246443394,524623.7014934417,177298.76818416564,Rooftop,,"< 3,013 ft2 (280m2)",Greater London
1010010203,The Co-operative Group,The Co-operative Food,Co-op Chelsea - Kings Road,471-487 Kings Road,Worlds End,London,Chelsea,SW10 0LU,-0.1811893208178612,51.481577806587566,526395.116398036,177415.1417878964,Rooftop,,"3,013 < 15,069 ft2 (280 < 1,400 m2)",Greater London
1010003886,Sainsburys,Sainsburys Local,Sainsburys Fulham Landridge Road Local,915-921 Fulham Road,,London,Fulham,SW6 5HU,-0.2089089840876366,51.47275424670568,524494.4014931397,176386.47818054853,Rooftop,,"< 3,013 ft2 (280m2)",Greater London
1010006807,Waitrose,Waitrose,Waitrose Gloucester Road,Gloucester Arcade,128 Gloucester Road,London,South Kensington,SW7 4SF,-0.1834525490674622,51.49467822974096,526201.8214974802,178868.05819291167,Rooftop,,"15,069 < 30,138 ft2 (1,400 < 2,800 m2)",Greater London
1010004432,Tesco,Tesco,Tesco Hammersmith Superstore,180 Shepherds Bush Road,Hammersmith,London,Brook Green,W6 7NL,-0.22413110073123,51.49771007843736,523369.9314901014,179135.92818863643,Rooftop,,"15,069 < 30,138 ft2 (1,400 < 2,800 m2)",Greater London
1010005850,Tesco,Tesco Express,Tesco Olympia Express,69-77 Hammersmith Road,Olympia,London,West Kensington,W14 8UZ,-0.2110074704208356,51.49506845044871,524288.0314925064,178864.3481893384,Rooftop,,"< 3,013 ft2 (280m2)",Greater London
1010003947,Sainsburys,Sainsburys Local,Sainsburys Kensington Addison Road Local,346 Kensington High Street,,London,Kensington,W14 8NS,-0.205067286869973,51.49715367903916,524694.681493555,179106.32819099288,Rooftop,,"< 3,013 ft2 (280m2)",Greater London
1010006504,Tesco,Tesco Express,Tesco Hammersmith Express,13-16 Broadway Centre,Hammersmith,London,Hammersmith,W6 9YD,-0.2237817030512817,51.491988563466535,523409.6214902316,178500.25818635174,Rooftop,,"3,013 < 15,069 ft2 (280 < 1,400 m2)",Greater London
1010004430,Tesco,Tesco,Tesco Kensington Superstore,West Cromwell Road,Kensington,London,Earls Court,W14 8PB,-0.2019307739961971,51.49290318463309,524924.0014941705,178638.99818969046,Rooftop,,"15,069 < 30,138 ft2 (1,400 < 2,800 m2)",Greater London
1010003948,Sainsburys,Sainsburys Local,Sainsburys Hammersmith North End Crescent Local,3 North End Crescent,,London,West Kensington,W14 8TG,-0.2073001111922581,51.49225384998597,524553.0414932088,178557.64818869578,Rooftop,,"< 3,013 ft2 (280m2)",Greater London
1010006544,Waitrose,Little Waitrose,Little Waitrose Notting Hill Gate,123-138 Nottingham Hill Gate,,London,Notting Hill,W11 3QG,-0.1999589810796836,51.50883472640775,525017.3114943397,180414.01819644507,Rooftop,,"< 3,013 ft2 (280m2)",Greater London
1010001620,Marks and Spencer,Marks and Spencer,M&S Kensington,113 Kensington High Street,,London,Kensington,W8 5SQ,-0.1923075904397027,51.50115338662354,525569.3659346926,179572.90660864965,Rooftop,,"30,138 ft2 > (2,800 m2)",Greater London
